id,nom,departement,ville,cp,type,no2_2017,pm10_2017,pm25_2017,geometry,nb_equipements_ville
0931303L,Ecole primaire Anatole France,93,Le-Pré-Saint-Gervais,93310,primaire,36.30752487063408,20.45347163265587,12.476285478025677,"c(2.40190669148279, 48.8838194118056)",16
0931304M,Ecole primaire Gabriel Péri,93,Romainville,93230,primaire,36.978172910213466,21.1440276868298,12.966431860625743,"c(2.43499002425661, 48.8851842975848)",27
0931305N,Ecole primaire Paul Vaillant-Couturier,93,Romainville,93230,primaire,36.978172910213466,21.1440276868298,12.966431860625743,"c(2.43499002425661, 48.8851842975848)",27
0931306P,Ecole maternelle Bas Près,93,Saint-Denis,93200,primaire,31.96492346525192,19.90535132074158,12.142264246940613,"c(2.36213963361074, 48.9416462641781)",115
0931308S,Ecole primaire Anatole France,93,Saint-Denis,93200,primaire,36.290399479866025,20.903158448444422,12.829056677818295,"c(2.34389017133706, 48.9215169664157)",115
0931309T,Ecole primaire Marcel Sembat,93,Saint-Denis,93200,primaire,35.41407203197479,20.7315590926596,12.743000905513764,"c(2.35450395410896, 48.9303436327537)",115
0931311V,Ecole maternelle Paul Langevin,93,Saint-Ouen,93400,primaire,35.43580532550812,20.41285863347956,12.466813884973526,"c(2.33405747804806, 48.9160120507735)",38
0931312W,Ecole maternelle Marie Curie,93,Sevran,93270,primaire,29.694988527297973,19.67272979423737,12.00036499261856,"c(2.51192720896242, 48.9341465980955)",46
0931313X,Ecole primaire Saint Exupéry,93,Sevran,93270,primaire,29.470573997497556,19.66013048601649,11.992679524421693,"c(2.51965508264469, 48.935671512529)",46
0931314Y,Ecole primaire Marie Curie,93,Sevran,93270,primaire,29.71309616327286,19.674278663102164,12.001309811472892,"c(2.51159342136037, 48.933934808084)",46
0931315Z,Ecole primaire Cretier,93,Sevran,93270,primaire,30.469898843765264,20.15292885019746,12.384136754274367,"c(2.52893649452915, 48.9388881717581)",46
0931316A,Ecole primaire Joliot-Curie,93,Stains,93240,primaire,31.963441271781928,20.15714687934436,12.374319554567338,"c(2.38301436297873, 48.9546412116479)",40
0931317B,Ecole maternelle Honoré de Balzac,93,Tremblay-en-France,93290,primaire,26.496346807479853,19.439943303752088,11.85836555957794,"c(2.57544724470901, 48.9617627728993)",41
0931318C,Ecole primaire Honoré de Balzac,93,Tremblay-en-France,93290,primaire,26.401655538082125,19.43767796078105,11.856983728408814,"c(2.57637672494601, 48.9616608481047)",41
0931319D,Ecole primaire Jean Moulin,93,Tremblay-en-France,93290,primaire,27.45923697471618,19.550866655675087,11.926028456687929,"c(2.56787366247171, 48.9480787593697)",41
0931320E,Ecole primaire Anatole France,93,Tremblay-en-France,93290,primaire,26.88240741729737,19.519447218466198,11.906862926483155,"c(2.58633354275562, 48.9453786558731)",41
0931321F,Section d'enseignement général et professionnel adapté Fabien,93,Saint-Denis,93200,secondaire,32.000866383314126,19.861810967980745,12.11570475101471,"c(2.35196196488544, 48.9439801610741)",115
0931322G,Section d'enseignement général et professionnel adapté Georges Politzer,93,La-Courneuve,93120,secondaire,33.01138389289379,20.012719565159376,12.218289251551033,"c(2.39978197454284, 48.9316302260718)",39
0931323H,Section d'enseignement général et professionnel adapté Saint-Exupéry,93,Rosny-sous-Bois,93110,secondaire,31.98292669802904,20.080276265399185,12.252838292568924,"c(2.492362546313, 48.8630400006186)",34
0931365D,Ecole primaire Pierre Joliot-Curie,93,Noisy-le-Grand,93160,primaire,29.53905874490738,19.85630342113373,12.11234486103058,"c(2.55602653808744, 48.8479999018688)",70
0931369H,Lycée professionnel privé Françoise Cabrini - Lycée des métiers de la vente,93,Noisy-le-Grand,93167,secondaire,29.77212600708008,19.88219596819824,12.128139457702638,"c(2.54908876798758, 48.846150986984)",70
0931376R,Collège Jean-Baptiste Clément,93,Dugny,93440,secondaire,30.73379489183426,19.672247302183177,12.000071188807487,"c(2.41410478842284, 48.9502028151211)",14
0931377S,Collège Jorissen,93,Drancy,93700,secondaire,31.95541973114014,20.035384435669062,12.241294369101524,"c(2.46984049651577, 48.9164659321044)",58
0931379U,Collège Pablo Néruda,93,Aulnay-sous-Bois,93604,secondaire,28.471579062938687,19.56658147926849,11.935614860057832,"c(2.51984316253933, 48.9512304691155)",94
0931381W,Collège Gustave Courbet,93,Romainville,93230,secondaire,41.97620683908462,23.14306542827656,14.447845690697433,"c(2.44141138452562, 48.8787150220235)",27
0931382X,Collège Eugène Carrière,93,Gournay-sur-Marne,93460,secondaire,28.794091076850894,19.762478960598035,12.055111976861957,"c(2.57917763270405, 48.8641366847934)",5
0931386B,Section d'enseignement professionnel du Lycée Henri Sellier,93,Livry-Gargan,93190,secondaire,30.289576713847925,19.745080837670056,12.044499229788782,"c(2.51601263812785, 48.9182845662956)",30
0931388D,Section d'enseignement professionnel du Lycée d'application de l'ENNA,93,Saint-Denis,93203,secondaire,32.98225600004196,20.16286134960857,12.328975274562834,"c(2.35546761884885, 48.9394819737816)",115
0931395L,Ecole maternelle Gérard Philipe,93,Aubervilliers,93300,primaire,35.91098495423794,20.34652558024658,12.410635707080363,"c(2.38109657250332, 48.9089160824704)",72
0931399R,Ecole maternelle Louise Michel,93,Bobigny,93000,primaire,32.039961850643174,20.018935728215432,12.211025699973106,"c(2.44344602747474, 48.908159918598)",54
0931400S,Ecole primaire Marcel Cachin,93,Bobigny,93000,primaire,33.660832084417336,20.086724756450185,12.252230236679315,"c(2.42122662815953, 48.9148650220838)",54
